"invoiceID","branch","city","cust_type","gender","type","unit_price","quantity","date","time","payment","cost","gross income","rating"
"101-17-6199","A","Cairo","Normal","Male","Food and beverages","45.79","7","3/13/2019","19:44","Credit card","320.53","16.0265","7.0"
"101-81-4070","C","Alexandria","Member","Female","Health and beauty","62.82","2","1/17/2019","12:36","eWallet","125.64","6.2820","4.9"
"102-06-2002","C","Alexandria","Member","Male","Sports and travel","25.25","5","3/20/2019","17:52","Cash","126.25","6.3125","6.1"
"102-77-2261","C","Alexandria","Member","Male","Health and beauty","65.31","7","3/5/2019","18:02","Credit card","457.17","22.8585","4.2"
"105-10-6182","A","Cairo","Member","Male","Fashion accessories","21.48","2","2/27/2019","12:22","eWallet","42.96","2.1480","6.6"
"105-31-1824","A","Cairo","Member","Male","Sports and travel","69.52","7","2/1/2019","15:10","Credit card","486.64","24.3320","8.5"
"106-35-6779","A","Cairo","Member","Male","Home and lifestyle","44.34","2","3/27/2019","11:26","Cash","88.68","4.4340","5.8"
"109-28-2512","B","Ismailia","Member","Female","Fashion accessories","97.61","6","1/7/2019","15:01","eWallet","585.66","29.2830","9.9"
"109-86-4363","B","Ismailia","Member","Female","Sports and travel","60.08","7","2/14/2019","11:36","Credit card","420.56","21.0280","4.5"
"110-05-6330","C","Alexandria","Normal","Female","Food and beverages","39.43","6","3/25/2019","20:18","Credit card","236.58","11.8290","9.4"
"110-48-7033","B","Ismailia","Member","Male","Fashion accessories","32.62","4","1/29/2019","14:12","Cash","130.48","6.5240","9.0"
"114-35-5271","B","Ismailia","Normal","Female","Electronic accessories","57.91","8","2/7/2019","15:06","Cash","463.28","23.1640","8.1"
"115-38-7388","C","Alexandria","Member","Female","Fashion accessories","10.18","8","3/30/2019","12:51","Credit card","81.44","4.0720","9.5"
"115-99-4379","B","Ismailia","Member","Female","Fashion accessories","54.73","7","3/14/2019","19:02","Credit card","383.11","19.1555","8.5"
"118-62-1812","C","Alexandria","Member","Female","Home and lifestyle","78.38","4","3/24/2019","17:56","Cash","313.52","15.6760","7.9"
"120-06-4233","C","Alexandria","Normal","Male","Electronic accessories","30.61","6","3/12/2019","20:36","Cash","183.66","9.1830","9.3"
"120-54-2248","B","Ismailia","Normal","Female","Food and beverages","28.86","5","1/22/2019","18:08","Credit card","144.30","7.2150","8.0"
"122-61-9553","C","Alexandria","Normal","Female","Electronic accessories","51.32","9","3/14/2019","19:33","Cash","461.88","23.0940","5.6"
"123-19-1176","A","Cairo","Member","Male","Health and beauty","58.22","8","1/27/2019","20:33","eWallet","465.76","23.2880","8.4"
"123-35-4896","C","Alexandria","Normal","Female","Sports and travel","46.66","9","2/17/2019","19:11","eWallet","419.94","20.9970","5.3"
"124-31-1458","A","Cairo","Member","Female","Electronic accessories","79.59","3","1/8/2019","14:30","Cash","238.77","11.9385","6.6"
"125-45-2293","A","Cairo","Normal","Female","Fashion accessories","99.10","6","1/19/2019","13:11","Cash","594.60","29.7300","4.2"
"126-54-1082","A","Cairo","Member","Female","Home and lifestyle","21.54","9","1/7/2019","11:44","Credit card","193.86","9.6930","8.8"
"127-47-6963","A","Cairo","Normal","Male","Health and beauty","51.71","4","3/9/2019","13:53","Credit card","206.84","10.3420","9.8"
"129-29-8530","A","Cairo","Member","Male","Sports and travel","62.62","5","3/10/2019","19:15","eWallet","313.10","15.6550","7.0"
